>0.5	>0.25	>0.075	>0.005	<0.005	w	e	a0.1-0.2
0	0	2.3	0	14.6	22.2	0.623	0.26
0	0	0	0	14	13.7	0.568	0.15
0	0	0	0	16	22.3	0.687	0.17
0	0	4	0	13	12.7	0.639	0.16
0	0	0	0	15	22	0.727	0.2
0	0	0	0	14	20.3	0.579	0.15
0	0	0	0	17	16.7	0.61	0.18
0	0	0	0	16	24	0.737	0.19
0	0	4	0	13	24.5	0.675	0.2
0	0	0	0	14	18.2	0.566	0.14
0	0	0	0	17	17.3	0.661	0.18
0	0	0	0	19	22.9	0.621	0.19
0	0	0	0	14	20.1	0.591	0.14
0	0	2	0	13	18.9	0.568	0.14
0	4.9	77.2	17.9	0	17.6	0.691	0.16
0	3.8	79.7	16.5	0	5.7	0.536	0.14
0	5.5	11.3	65.2	18	20.2	0.729	0.09
0	8.3	13.8	61	16.9	20.2	0.678	0.09
0	0	13.8	67.9	18.3	17.2	0.677	0.12
0	0	4.8	74.3	20.9	12	0.68	0.13
0	8	11.3	63.6	17.1	9.1	0.812	0.19
0	11.3	16.5	58.1	14.1	15.5	0.682	0.1
0	5.5	13	65.5	16	20.7	0.746	0.26
0	0	8	74.2	17.8	24.6	0.743	0.17
0	0	4.8	75.5	19.7	18.5	0.624	0.22
0	4.8	6.8	70.8	17.6	15.9	0.559	0.16
0	0	7.3	73.9	18.8	22	0.647	0.12
0	0	3	77.6	19.4	13.3	0.619	0.09
0	5.8	11.3	64.6	18.3	16.4	0.793	0.16
0	2.8	5.5	70.8	20.9	19.3	0.587	0.15
0	5.5	8.3	66.8	19.4	8.6	0.632	0.08
0	0	8.3	72.4	19.3	11.9	0.688	0.11
0	0	0	86	14	19.8	0.714	0.23
0	0	0	87	13	20.6	0.699	0.19
0	0	0	85	15	22.3	0.741	0.2
0	0	0	84	16	23.5	0.712	0.19
0	0	0	85	15	21.6	0.66	0.28
0	0	0	84	16	23.8	0.762	0.2
0	0	0	85	15	25.6	0.778	0.2
0	0	0	87	13	18.6	0.645	0.18
0	0	0	86	14	20.6	0.664	0.19
0	0	0	84	16	23.1	0.761	0.21
0	0	0	85	15	22.6	0.709	0.25
0	0	0	83	17	20.5	0.706	0.25
0	0	0	85	15	20.6	0.681	0.13
0	0	0	84	16	22.8	0.72	0.23
0	0	0	87	13	20.1	0.64	0.23
0	0	0	85	15	23.5	0.695	0.23
0	0	0	86	14	24.1	0.795	0.24
0	0	0	83	17	22.8	0.729	0.24
0	0	0	87	13	19.5	0.657	0.24
0	0	0	83	17	20.6	0.681	0.19
0	0	0	82	18	20.9	0.676	0.19
0	0	0	84	16	20.6	0.735	0.18
0	0	0	83	17	21.5	0.693	0.21
0	0	0	85	15	21.5	0.676	0.22
0	0	0	85	15	21.2	0.753	0.21
0	0	0	87	13	20.5	0.697	0.18
0	0	0	86	14	21.9	0.656	0.2
0	0	0	83	17	22.7	0.684	0.16
0	0	0	85	15	21.5	0.693	0.22
0	0	0	82	18	20.7	0.674	0.17
0	0	0	85	15	20.7	0.746	0.26
0	0	0	83	17	19.8	0.696	0.27
0	0	0	86	14	22.1	0.702	0.25
0	0	0	87	13	21.5	0.693	0.23
0	0	0	83	17	22.3	0.741	0.21
0	0	0	87	13	23.1	0.707	0.22
0	0	0	85	15	21.8	0.672	0.27
0	0	0	86	14	20.7	0.746	0.19
0	0	0	83	17	21.2	0.647	0.2
0	0	0	82	18	22.3	0.679	0.23
0	0	0	86	14	20.8	0.675	0.18
0	0	0	82	18	22.5	0.716	0.22
0	0	0	86	14	20.1	0.657	0.2
0	0	0	82	18	21.5	0.659	0.2
0	0	0	85	15	22.5	0.716	0.22
0	0	0	84	16	20.5	0.688	0.21
0	0	0	85	15	21.5	0.693	0.25
0	0	0	84	16	22.1	0.676	0.29
0	0	3	84	13	21.7	0.696	0.26
0	0	0	84	16	20.8	0.675	0.26
0	0	0	87	13	20.3	0.731	0.19
0	0	0	81	19	22.5	0.716	0.23
0	0	0	85	15	21.5	0.676	0.22
0	0	0	84	16	21.5	0.685	0.24
0	0	0	82	18	22.7	0.675	0.18
0	0	0	84	16	20.5	0.724	0.23
0	0	4	83	13	21.6	0.713	0.24
0	0	0	85	15	21.5	0.676	0.18
0	0	0	87	13	21.8	0.672	0.18
0	0	0	82	18	22.5	0.734	0.21
0	0	0	85	15	20.7	0.674	0.24
0	0	0	84	16	22.3	0.705	0.22
0	0	0	85	15	20.6	0.726	0.22
0	0	0	83	17	20.4	0.661	0.22
0	0	0	82	18	21.5	0.659	0.22
0	0	0	86	14	22.6	0.691	0.19
0	0	0	83	17	21.5	0.711	0.23
0	0	0	87	13	20.3	0.668	0.21
0	0	0	81	19	20.6	0.681	0.22
0	0	0	84	16	19.8	0.733	0.21
0	0	0	83	17	22.3	0.713	0.18
0	0	0	86	14	21.6	0.669	0.19
0	0	0	84	16	19.4	0.63	0.19
0	0	0	85	15	19.8	0.714	0.2
0	0	0	84	16	21.2	0.707	0.19
0	0	2	85	13	22.3	0.687	0.19
0	0	0	86	14	21.8	0.698	0.22
0	0	0	86	14	20.1	0.728	0.23
0	0	0	86	14	22.3	0.67	0.19
0	0	0	81	19	20.5	0.688	0.2
0	0	0	85	15	20.1	0.718	0.23
0	0	0	84	16	21.2	0.707	0.19
0	0	0	83	17	22.5	0.734	0.21
0	0	0	85	15	23.5	0.739	0.24
0	0	0	86	14	22.7	0.737	0.22
0	0	0	86	14	19.8	0.714	0.2
0	0	0	82	18	21.9	0.699	0.2
0	0	0	85	15	22.3	0.679	0.19
0	0	4	83	13	20.8	0.65	0.18
0	0	0	84	16	21.6	0.669	0.17
